protocol,nUavs,mobility,seed,simTime,pdr,pdr_source,totalGenerated,totalDelivered,flowMonitorDelivered,flowMonitorLost,avgDelay,throughput,avgAoI,ctrlOverhead,energyPerBit,brr,broadcasts,suppressed,totalEnergy,byzFraction,byzantineDrops,dataReceptions,duplicateReceptions,uniquePacketsSeen,rebroadcasts,rebroadcastSuppressions,redundancyRatio,savedRebroadcastRatio,broadcastPathLength,emergencyForwarded,emergencySuppressed,emergencyNonSuppressionRate,__source
astro,60,gm3d,3001,30,72.0045,app,1761,1268,0,0,10.358,109.466,1217.97,74.3979,467.181,149274,149274,2911,1534.21,0,0,1068071,992348,75723,74637,1086,92.9103,1.43417,0.593379,7301,0,100,ns-allinone-3.29/ns-3.29/results/zone-center-diagnostic/astro_n60_gm3d_s3001_bz0.0/astro_n60_gm3d_s3001_bz0.csv
astro,60,gm3d,3001,30,74.5075,app,1675,1248,0,0,8.95272,107.554,1237.39,75.7576,476.185,133102,133102,2582,1536.47,0.2,7440,1101168,1026420,74748,66551,757,93.2119,1.12468,0.536566,7110,0,100,ns-allinone-3.29/ns-3.29/results/zone-center-diagnostic/astro_n60_gm3d_s3001_bz0.2/astro_n60_gm3d_s3001_bz20.csv
astro,60,rpgm,3001,30,74.3444,app,1754,1304,0,0,13.0169,113.562,1187.1,74.5654,450.162,154756,154756,2423,1533.63,0,0,1092012,1014052,77960,77378,582,92.8609,0.746537,0.697162,6931,0,100,ns-allinone-3.29/ns-3.29/results/zone-center-diagnostic/astro_n60_rpgm_s3001_bz0.0/astro_n60_rpgm_s3001_bz0.csv
astro,60,rpgm,3001,30,76.751,app,1699,1304,0,0,9.98006,112.401,1194.56,75.2931,455.541,138952,138952,2322,1536.1,0.2,7803,1137271,1059511,77760,69476,481,93.1626,0.687565,0.572701,6991,0,100,ns-allinone-3.29/ns-3.29/results/zone-center-diagnostic/astro_n60_rpgm_s3001_bz0.2/astro_n60_rpgm_s3001_bz20.csv
