protocol,nUavs,mobility,seed,simTime,pdr,pdr_source,totalGenerated,totalDelivered,flowMonitorDelivered,flowMonitorLost,avgDelay,throughput,avgAoI,ctrlOverhead,energyPerBit,brr,broadcasts,suppressed,totalEnergy,byzFraction,byzantineDrops,dataReceptions,duplicateReceptions,uniquePacketsSeen,rebroadcasts,rebroadcastSuppressions,redundancyRatio,savedRebroadcastRatio,broadcastPathLength,emergencyForwarded,emergencySuppressed,emergencyNonSuppressionRate,__source
sba,20,gm3d,3003,30,94.6827,app,583,552,0,0,0.748188,48.8448,943.158,74.2669,344.195,19988,19988,641,504.364,0.1,526,180366,169845,10521,9994,1,94.1669,0.010005,0.122173,1023,1,99.9023,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/sba_n20_gm3d_s3003_bz0.1/sba_n20_gm3d_s3003_bz10.csv
sba,20,gm3d,3003,30,94.3925,app,535,505,0,0,0.677228,42.9739,1009.85,76.6568,390.067,17378,17378,641,502.88,0.2,950,164693,155053,9640,8689,1,94.1467,0.0115075,0.111175,763,1,99.8691,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/sba_n20_gm3d_s3003_bz0.2/sba_n20_gm3d_s3003_bz20.csv
sba,20,gm3d,3004,30,94.1581,app,582,548,0,0,0.759124,47.5819,943.684,74.7508,353.162,19542,19542,639,504.123,0.1,491,179083,168821,10262,9771,0,94.2697,0,0.153106,993,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/sba_n20_gm3d_s3004_bz0.1/sba_n20_gm3d_s3004_bz10.csv
sba,20,gm3d,3004,30,95.9528,app,593,569,0,0,0.852373,47.9403,917.809,74.9307,350.606,19556,19556,639,504.244,0.2,1063,181262,170421,10841,9778,0,94.0192,0,0.149417,911,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/sba_n20_gm3d_s3004_bz0.2/sba_n20_gm3d_s3004_bz20.csv
sba,20,gm3d,3005,30,94.1489,app,564,531,0,0,0.873823,46.6261,978.589,75.2086,360.342,19382,19382,648,504.041,0.1,509,177679,167478,10201,9691,1,94.2587,0.0103178,0.147972,1105,1,99.9096,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/sba_n20_gm3d_s3005_bz0.1/sba_n20_gm3d_s3005_bz10.csv
sba,20,gm3d,3005,30,94.9911,app,559,531,0,0,0.749529,45.7045,997.139,75.5934,367.18,18242,18242,648,503.454,0.2,1020,171095,160953,10142,9121,1,94.0723,0.0109625,0.142857,722,1,99.8617,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/sba_n20_gm3d_s3005_bz0.2/sba_n20_gm3d_s3005_bz20.csv
sba,20,rpgm,3001,30,95.9459,app,592,568,0,0,0.698944,46.9845,904.954,75.3712,357.346,20266,20266,636,503.692,0.1,586,174669,163949,10720,10133,1,93.8627,0.00986777,0.149314,807,1,99.8762,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/sba_n20_rpgm_s3001_bz0.1/sba_n20_rpgm_s3001_bz10.csv
sba,20,rpgm,3001,30,95,app,560,532,0,0,0.601504,45.5339,967.553,75.7707,368.334,18002,18002,636,503.15,0.2,1038,163190,153150,10040,9001,1,93.8477,0.0111086,0.141318,964,1,99.8964,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/sba_n20_rpgm_s3001_bz0.2/sba_n20_rpgm_s3001_bz20.csv
sba,20,rpgm,3002,30,95.2623,app,591,563,0,0,0.982238,48.9984,934.796,74.4572,343.308,20492,20492,640,504.647,0.1,533,182958,172178,10780,10246,1,94.1079,0.00975895,0.136834,1170,1,99.9146,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/sba_n20_rpgm_s3002_bz0.1/sba_n20_rpgm_s3002_bz10.csv
sba,20,rpgm,3002,30,95.3411,app,601,573,0,0,0.947644,46.7627,905.792,75.1697,359.231,19714,19714,640,503.957,0.2,1106,180134,169170,10964,9857,1,93.9134,0.010144,0.139799,1112,1,99.9102,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/sba_n20_rpgm_s3002_bz0.2/sba_n20_rpgm_s3002_bz20.csv
sba,20,rpgm,3003,30,94.6984,app,547,518,0,0,0.837838,44.0149,990.833,76.3814,381.42,18686,18686,628,503.645,0.1,480,172479,162656,9823,9343,0,94.3048,0,0.101252,1048,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/sba_n20_rpgm_s3003_bz0.1/sba_n20_rpgm_s3003_bz10.csv
sba,20,rpgm,3003,30,95.288,app,573,546,0,0,0.639194,46.9333,941.764,75.2541,357.692,18506,18506,628,503.63,0.2,1029,172019,161737,10282,9253,0,94.0228,0,0.0919702,818,0,100,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/sba_n20_rpgm_s3003_bz0.2/sba_n20_rpgm_s3003_bz20.csv
sba,20,rpgm,3004,30,95.416,app,589,562,0,0,1.0516,47.9915,929.127,74.5782,350.389,20790,20790,636,504.471,0.1,544,182254,171314,10940,10395,1,93.9974,0.00961908,0.145166,934,1,99.893,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/sba_n20_rpgm_s3004_bz0.1/sba_n20_rpgm_s3004_bz10.csv
sba,20,rpgm,3004,30,94.7635,app,592,561,0,0,0.948307,48.128,927.423,74.5145,349.007,19298,19298,636,503.911,0.2,1054,173833,163129,10704,9649,1,93.8424,0.0103627,0.136076,938,1,99.8935,ns-allinone-3.29/ns-3.29/results/corrected-security-campaign/sba_n20_rpgm_s3004_bz0.2/sba_n20_rpgm_s3004_bz20.csv
