protocol,nUavs,mobility,byzFraction,nRuns,seeds,pdr_mean,pdr_sd,pdr_ci95,pdr_n,avgDelay_mean,avgDelay_sd,avgDelay_ci95,avgDelay_n,throughput_mean,throughput_sd,throughput_ci95,throughput_n,avgAoI_mean,avgAoI_sd,avgAoI_ci95,avgAoI_n,ctrlOverhead_mean,ctrlOverhead_sd,ctrlOverhead_ci95,ctrlOverhead_n,energyPerBit_mean,energyPerBit_sd,energyPerBit_ci95,energyPerBit_n,brr_mean,brr_sd,brr_ci95,brr_n,broadcasts_mean,broadcasts_sd,broadcasts_ci95,broadcasts_n,suppressed_mean,suppressed_sd,suppressed_ci95,suppressed_n,totalEnergy_mean,totalEnergy_sd,totalEnergy_ci95,totalEnergy_n,byzantineDrops_mean,byzantineDrops_sd,byzantineDrops_ci95,byzantineDrops_n,redundancyRatio_mean,redundancyRatio_sd,redundancyRatio_ci95,redundancyRatio_n,savedRebroadcastRatio_mean,savedRebroadcastRatio_sd,savedRebroadcastRatio_ci95,savedRebroadcastRatio_n,broadcastPathLength_mean,broadcastPathLength_sd,broadcastPathLength_ci95,broadcastPathLength_n,emergencyNonSuppressionRate_mean,emergencyNonSuppressionRate_sd,emergencyNonSuppressionRate_ci95,emergencyNonSuppressionRate_n,dataReceptions_mean,dataReceptions_sd,dataReceptions_ci95,dataReceptions_n,duplicateReceptions_mean,duplicateReceptions_sd,duplicateReceptions_ci95,duplicateReceptions_n,rebroadcasts_mean,rebroadcasts_sd,rebroadcasts_ci95,rebroadcasts_n,rebroadcastSuppressions_mean,rebroadcastSuppressions_sd,rebroadcastSuppressions_ci95,rebroadcastSuppressions_n
pr,20,rpgm,0.1,5,3001;3002;3003;3004;3005,95.149540,0.794789,0.986703,5,0.479506,0.048053,0.059656,5,47.339540,1.884575,2.339634,5,948.189400,36.934272,45.852604,5,75.072480,0.841759,1.045014,5,352.723400,13.858102,17.204348,5,11755.600000,513.913222,638.005248,5,11755.600000,513.913222,638.005248,5,4617.000000,106.346133,132.024996,5,500.305800,0.444651,0.552019,5,521.000000,27.883687,34.616620,5,92.264480,0.224143,0.278265,5,40.396120,0.442438,0.549271,5,0.114145,0.012312,0.015284,5,60.653880,1.764302,2.190319,5,134282.000000,6248.607125,7757.426676,5,123901.600000,5950.825346,7387.741038,5,5877.800000,256.956611,319.002624,5,3981.600000,104.710553,129.994481,5
pr,20,rpgm,0.2,5,3001;3002;3003;3004;3005,94.876880,0.494324,0.613686,5,0.448217,0.103709,0.128751,5,46.117540,2.377219,2.951234,5,980.797000,34.787858,43.187906,5,75.459520,1.042648,1.294411,5,362.234200,19.641540,24.384284,5,10884.000000,350.077134,434.608489,5,10884.000000,350.077134,434.608489,5,4320.800000,127.889405,158.770213,5,500.040400,0.286226,0.355339,5,1013.400000,65.171313,80.907900,5,92.237320,0.258891,0.321405,5,40.377060,0.468590,0.581738,5,0.109294,0.017839,0.022146,5,61.064920,0.997109,1.237876,5,130676.600000,3894.218702,4834.535992,5,120535.800000,3735.130948,4637.034123,5,5442.000000,175.038567,217.304244,5,3685.400000,124.447981,154.497806,5
sba,20,gm3d,0.1,5,3001;3002;3003;3004;3005,94.576280,0.502028,0.623250,5,0.749021,0.117697,0.146117,5,45.905920,2.863706,3.555191,5,974.708800,38.299767,47.547817,5,75.479660,1.177915,1.462340,5,367.013000,23.522648,29.202543,5,19258.000000,657.210773,815.904133,5,19258.000000,657.210773,815.904133,5,643.600000,6.107373,7.582089,5,503.827200,0.546804,0.678838,5,503.400000,33.291140,41.329783,5,94.232720,0.099543,0.123579,5,0.004065,0.005567,0.006911,5,0.147928,0.015025,0.018653,5,99.962380,0.051578,0.064032,5,175680.600000,4757.990574,5906.878487,5,165547.800000,4449.518480,5523.921197,5,9629.000000,328.605386,407.952067,5,0.400000,0.547723,0.679978,5
sba,20,gm3d,0.2,5,3001;3002;3003;3004;3005,95.007260,0.642392,0.797507,5,0.740071,0.091227,0.113255,5,45.028700,1.896267,2.354148,5,982.700000,37.327699,46.341029,5,75.851540,0.639883,0.794392,5,373.131400,15.005114,18.628322,5,18246.000000,804.829174,999.167204,5,18246.000000,804.829174,999.167204,5,643.600000,6.107373,7.582089,5,503.366000,0.538697,0.668773,5,1005.200000,42.198341,52.387761,5,94.077400,0.073512,0.091263,5,0.004494,0.006157,0.007643,5,0.145586,0.021423,0.026596,5,99.946160,0.073770,0.091583,5,171000.800000,6670.407874,8281.077518,5,160872.200000,6245.619361,7753.717472,5,9123.000000,402.414587,499.583602,5,0.400000,0.547723,0.679978,5
sba,20,rpgm,0.1,5,3001;3002;3003;3004;3005,95.282060,0.457561,0.568046,5,0.893460,0.135859,0.168664,5,46.766080,1.933727,2.400654,5,944.349600,32.971951,40.933521,5,75.269720,0.785673,0.975386,5,359.778200,14.814921,18.392205,5,19868.000000,918.644654,1140.465131,5,19868.000000,918.644654,1140.465131,5,636.200000,5.118594,6.354554,5,504.075800,0.457817,0.568364,5,529.800000,40.052466,49.723732,5,94.111140,0.188199,0.233642,5,0.007943,0.004452,0.005527,5,0.132453,0.019014,0.023606,5,99.918600,0.047915,0.059485,5,177664.600000,4686.208094,5817.763055,5,167200.000000,4318.698473,5361.512745,5,9934.000000,459.322327,570.232566,5,0.800000,0.447214,0.555200,5
sba,20,rpgm,0.2,5,3001;3002;3003;3004;3005,95.131160,0.244175,0.303134,5,0.793812,0.165765,0.205791,5,46.578360,1.088938,1.351878,5,938.753000,23.500282,29.174776,5,75.264400,0.487157,0.604788,5,360.617600,8.248874,10.240687,5,18840.800000,673.010550,835.519002,5,18840.800000,673.010550,835.519002,5,636.200000,5.118594,6.354554,5,503.693600,0.328696,0.408065,5,1052.800000,31.091800,38.599379,5,93.941040,0.105944,0.131525,5,0.008464,0.004745,0.005891,5,0.128015,0.020545,0.025506,5,99.919420,0.045504,0.056492,5,172896.400000,6205.849603,7704.344712,5,162422.400000,5889.494401,7311.600820,5,9420.400000,336.505275,417.759501,5,0.800000,0.447214,0.555200,5
sf,20,gm3d,0.1,5,3001;3002;3003;3004;3005,94.601800,0.607977,0.754783,5,0.841310,0.115757,0.143708,5,45.506560,1.743187,2.164106,5,982.593000,40.578360,50.376611,5,75.607200,0.662423,0.822375,5,367.634800,13.667674,16.967938,5,19130.000000,578.563739,718.266598,5,19130.000000,578.563739,718.266598,5,643.200000,6.058052,7.520860,5,501.322000,0.142158,0.176485,5,499.800000,25.965362,32.235086,5,93.488780,0.207137,0.257153,5,0.000000,0.000000,0.000000,5,0.151155,0.013320,0.016537,5,100.000000,0.000000,0.000000,5,154595.200000,2352.145978,2920.106768,5,144530.400000,2315.916514,2875.129159,5,9565.000000,289.281869,359.133299,5,0.000000,0.000000,0.000000,5
sf,20,gm3d,0.2,5,3001;3002;3003;3004;3005,94.832560,0.473820,0.588231,5,0.796018,0.065739,0.081613,5,46.254060,1.811631,2.249076,5,968.412600,27.978196,34.733950,5,75.367060,0.689274,0.855710,5,361.765000,14.410762,17.890455,5,18444.000000,495.233278,614.814753,5,18444.000000,495.233278,614.814753,5,643.200000,6.058052,7.520860,5,501.366800,0.240290,0.298311,5,1016.800000,30.638211,38.036265,5,93.367240,0.138889,0.172425,5,0.000000,0.000000,0.000000,5,0.149564,0.014623,0.018154,5,100.000000,0.000000,0.000000,5,154384.600000,3720.109582,4618.385623,5,144145.800000,3538.541465,4392.975172,5,9222.000000,247.616639,307.407376,5,0.000000,0.000000,0.000000,5
sf,20,rpgm,0.1,5,3001;3002;3003;3004;3005,94.633940,0.208405,0.258727,5,1.015059,0.110655,0.137374,5,46.697800,2.003757,2.487595,5,958.956600,17.569941,21.812465,5,75.199540,0.852282,1.058078,5,358.515400,14.977081,18.593521,5,19608.000000,515.470659,639.938751,5,19608.000000,515.470659,639.938751,5,635.400000,4.722288,5.862554,5,501.536600,0.371662,0.461406,5,517.600000,14.774979,18.342618,5,93.315860,0.134055,0.166424,5,0.000000,0.000000,0.000000,5,0.140292,0.018540,0.023016,5,100.000000,0.000000,0.000000,5,154468.800000,5036.070413,6252.104858,5,144147.200000,4824.209490,5989.086950,5,9804.000000,257.735329,319.969375,5,0.000000,0.000000,0.000000,5
sf,20,rpgm,0.2,5,3001;3002;3003;3004;3005,94.923800,0.174048,0.216075,5,0.922094,0.084742,0.105204,5,47.237120,0.889359,1.104108,5,945.271600,18.453094,22.908869,5,74.993420,0.445740,0.553370,5,353.988200,6.559867,8.143845,5,18972.400000,416.827062,517.476185,5,18972.400000,416.827062,517.476185,5,635.400000,4.722288,5.862554,5,501.502000,0.371738,0.461500,5,1056.000000,17.677670,21.946207,5,93.152440,0.134657,0.167171,5,0.000000,0.000000,0.000000,5,0.126342,0.021617,0.026836,5,100.000000,0.000000,0.000000,5,154030.000000,5403.062511,6707.712682,5,143487.800000,5210.329040,6468.440834,5,9486.200000,208.413531,258.738092,5,0.000000,0.000000,0.000000,5
